hour,day,month,day_of_week,is_weekend,previous_consumption,Global_active_power
18,16,12,5,1,4.222888888888889,3.6321999999999997
19,16,12,5,1,3.6321999999999997,3.4002333333333334
20,16,12,5,1,3.4002333333333334,3.2685666666666666
21,16,12,5,1,3.2685666666666666,3.0564666666666667
22,16,12,5,1,3.0564666666666667,2.2001333333333335
23,16,12,5,1,2.2001333333333335,2.0616
0,17,12,6,1,2.0616,1.8824666666666665
1,17,12,6,1,1.8824666666666665,3.3494
2,17,12,6,1,3.3494,1.5872666666666668
3,17,12,6,1,1.5872666666666668,1.6622
4,17,12,6,1,1.6622,2.2157666666666667
5,17,12,6,1,2.2157666666666667,1.9967333333333335
6,17,12,6,1,1.9967333333333335,1.3033000000000001
7,17,12,6,1,1.3033000000000001,1.6200333333333332
8,17,12,6,1,1.6200333333333332,1.8905666666666667
9,17,12,6,1,1.8905666666666667,2.5490666666666666
10,17,12,6,1,2.5490666666666666,3.6289000000000002
11,17,12,6,1,3.6289000000000002,2.4709999999999996
12,17,12,6,1,2.4709999999999996,1.9158666666666666
13,17,12,6,1,1.9158666666666666,1.6607666666666667
14,17,12,6,1,1.6607666666666667,2.092633333333333
15,17,12,6,1,2.092633333333333,2.9854
16,17,12,6,1,2.9854,3.3260333333333336
17,17,12,6,1,3.3260333333333336,3.406766666666667
18,17,12,6,1,3.406766666666667,3.6971
19,17,12,6,1,3.6971,2.9084
20,17,12,6,1,2.9084,3.3615
21,17,12,6,1,3.3615,3.040766666666667
22,17,12,6,1,3.040766666666667,1.518
23,17,12,6,1,1.518,0.4377333333333333
0,18,12,0,0,0.4377333333333333,0.2763666666666667
1,18,12,0,0,0.2763666666666667,0.31329999999999997
2,18,12,0,0,0.31329999999999997,0.2844666666666667
3,18,12,0,0,0.2844666666666667,0.30993333333333334
4,18,12,0,0,0.30993333333333334,1.0263333333333333
5,18,12,0,0,1.0263333333333333,0.2935
6,18,12,0,0,0.2935,0.61
7,18,12,0,0,0.61,2.4504333333333337
8,18,12,0,0,2.4504333333333337,2.082133333333333
9,18,12,0,0,2.082133333333333,1.6293333333333335
10,18,12,0,0,1.6293333333333335,1.3096333333333334
11,18,12,0,0,1.3096333333333334,1.5619333333333332
12,18,12,0,0,1.5619333333333332,1.7560666666666667
13,18,12,0,0,1.7560666666666667,1.6820666666666668
14,18,12,0,0,1.6820666666666668,1.7330333333333334
15,18,12,0,0,1.7330333333333334,1.7842999999999998
16,18,12,0,0,1.7842999999999998,1.9493
17,18,12,0,0,1.9493,2.1549
18,18,12,0,0,2.1549,2.402533333333333
19,18,12,0,0,2.402533333333333,2.6145
20,18,12,0,0,2.6145,3.0505666666666666
21,18,12,0,0,3.0505666666666666,2.1697333333333333
22,18,12,0,0,2.1697333333333333,1.7388000000000001
23,18,12,0,0,1.7388000000000001,1.5472666666666666
0,19,12,1,0,1.5472666666666666,0.8371333333333334
1,19,12,1,0,0.8371333333333334,0.3530333333333333
2,19,12,1,0,0.3530333333333333,0.3272333333333333
3,19,12,1,0,0.3272333333333333,0.3083
4,19,12,1,0,0.3083,0.32783333333333337
5,19,12,1,0,0.32783333333333337,0.30666666666666664
6,19,12,1,0,0.30666666666666664,0.7963333333333333
7,19,12,1,0,0.7963333333333333,1.7856333333333334
8,19,12,1,0,1.7856333333333334,3.879033333333333
9,19,12,1,0,3.879033333333333,1.6177666666666668
10,19,12,1,0,1.6177666666666668,0.4371333333333334
11,19,12,1,0,0.4371333333333334,2.321633333333333
12,19,12,1,0,2.321633333333333,0.43066666666666664
13,19,12,1,0,0.43066666666666664,0.30046666666666666
14,19,12,1,0,0.30046666666666666,0.3021333333333333
15,19,12,1,0,0.3021333333333333,0.42136666666666667
16,19,12,1,0,0.42136666666666667,1.3721333333333334
17,19,12,1,0,1.3721333333333334,2.1115
18,19,12,1,0,2.1115,2.2047000000000003
19,19,12,1,0,2.2047000000000003,1.8420999999999998
20,19,12,1,0,1.8420999999999998,2.940533333333333
21,19,12,1,0,2.940533333333333,1.4428666666666667
22,19,12,1,0,1.4428666666666667,0.7200000000000001
23,19,12,1,0,0.7200000000000001,0.3837
0,20,12,2,0,0.3837,0.4598333333333333
1,20,12,2,0,0.4598333333333333,0.25866666666666666
2,20,12,2,0,0.25866666666666666,0.7843666666666667
3,20,12,2,0,0.7843666666666667,0.3100333333333333
4,20,12,2,0,0.3100333333333333,0.289
5,20,12,2,0,0.289,0.2627
6,20,12,2,0,0.2627,0.28359999999999996
7,20,12,2,0,0.28359999999999996,1.5266333333333333
8,20,12,2,0,1.5266333333333333,2.9176
9,20,12,2,0,2.9176,1.3855333333333333
10,20,12,2,0,1.3855333333333333,1.5103000000000002
11,20,12,2,0,1.5103000000000002,2.8924000000000003
12,20,12,2,0,2.8924000000000003,1.4210333333333334
13,20,12,2,0,1.4210333333333334,1.4284
14,20,12,2,0,1.4284,1.2949
15,20,12,2,0,1.2949,0.2811333333333333
16,20,12,2,0,0.2811333333333333,0.46843333333333337
17,20,12,2,0,0.46843333333333337,0.5735
18,20,12,2,0,0.5735,2.8368333333333333
19,20,12,2,0,2.8368333333333333,3.2486333333333333
20,20,12,2,0,3.2486333333333333,3.5754666666666663
21,20,12,2,0,3.5754666666666663,3.646066666666667
22,20,12,2,0,3.646066666666667,3.058966666666667
23,20,12,2,0,3.058966666666667,2.3817666666666666
0,21,12,3,0,2.3817666666666666,1.5358666666666667
1,21,12,3,0,1.5358666666666667,1.3979666666666666
2,21,12,3,0,1.3979666666666666,1.2749
3,21,12,3,0,1.2749,0.3026
4,21,12,3,0,0.3026,0.24673333333333333
5,21,12,3,0,0.24673333333333333,0.2907
6,21,12,3,0,0.2907,0.29566666666666663
7,21,12,3,0,0.29566666666666663,1.2804666666666666
8,21,12,3,0,1.2804666666666666,1.5630333333333333
9,21,12,3,0,1.5630333333333333,2.5758
10,21,12,3,0,2.5758,1.7677
11,21,12,3,0,1.7677,0.5346551724137931
12,21,12,3,0,0.5346551724137931,0.8191333333333333
13,21,12,3,0,0.8191333333333333,1.6882333333333333
14,21,12,3,0,1.6882333333333333,1.0239
15,21,12,3,0,1.0239,0.3074
16,21,12,3,0,0.3074,1.3600666666666668
17,21,12,3,0,1.3600666666666668,1.7526333333333333
